 Merge of: 23922_G2_2.m 23922_G3_2.m 23922_G4_2.m 23922_G5_2.m                                                                                                                                                                                                  

23922_G2_2.m  Conc = .10E+01  Mult = .43E+01  N1 =   47  N2 =  143  SCALE =  1

23922_G3_2.m  Conc = .10E+01  Mult = .21E+01  N1 =   47  N2 =  184  SCALE =  1

23922_G4_2.m  Conc = .10E+01  Mult = .10E+01  N1 =   21  N2 =  200  SCALE =  1

23922_G5_2.m  Conc = .10E+01  Mult = .37E+00  N1 =   50  N2 =  517  SCALE =  1

 0.228050E-01  0.378596E+01  0.584820E-01

 0.234130E-01  0.372607E+01  0.566117E-01

 0.240210E-01  0.376454E+01  0.479277E-01

 0.246290E-01  0.370630E+01  0.418319E-01

 0.252370E-01  0.370586E+01  0.375651E-01

 0.258450E-01  0.370613E+01  0.395597E-01

 0.264540E-01  0.369353E+01  0.364502E-01

 0.270620E-01  0.367170E+01  0.376957E-01

 0.276700E-01  0.367483E+01  0.355534E-01

 0.282780E-01  0.365387E+01  0.336224E-01

 0.288860E-01  0.367973E+01  0.310468E-01

 0.294940E-01  0.361790E+01  0.308887E-01

 0.301020E-01  0.364139E+01  0.333193E-01

 0.307100E-01  0.360389E+01  0.331710E-01

 0.313190E-01  0.356608E+01  0.317959E-01

 0.319270E-01  0.357432E+01  0.319732E-01

 0.325350E-01  0.352302E+01  0.302100E-01

 0.331430E-01  0.348559E+01  0.329027E-01

 0.337510E-01  0.352069E+01  0.314883E-01

 0.343590E-01  0.347221E+01  0.269541E-01

 0.349670E-01  0.345400E+01  0.289928E-01

 0.355750E-01  0.345155E+01  0.351704E-01

 0.361840E-01  0.343557E+01  0.324754E-01

 0.367920E-01  0.343371E+01  0.318652E-01

 0.374000E-01  0.342408E+01  0.309862E-01

 0.380080E-01  0.347996E+01  0.129653E+00

 0.386160E-01  0.346088E+01  0.498924E-01

 0.392240E-01  0.335947E+01  0.478920E-01

 0.398320E-01  0.332118E+01  0.365407E-01

 0.404400E-01  0.336272E+01  0.344068E-01

 0.410490E-01  0.326523E+01  0.363032E-01

 0.416570E-01  0.326422E+01  0.337027E-01

 0.422650E-01  0.328865E+01  0.320143E-01

 0.428730E-01  0.324882E+01  0.285779E-01

 0.434810E-01  0.320925E+01  0.321610E-01

 0.440890E-01  0.317277E+01  0.308126E-01

 0.446970E-01  0.313807E+01  0.301325E-01

 0.453050E-01  0.315486E+01  0.303204E-01

 0.459140E-01  0.315289E+01  0.288910E-01

 0.465220E-01  0.315047E+01  0.296117E-01

 0.471300E-01  0.308220E+01  0.268217E-01

 0.477380E-01  0.303637E+01  0.263916E-01

 0.483460E-01  0.304935E+01  0.264080E-01

 0.489540E-01  0.303196E+01  0.234578E-01

 0.495620E-01  0.301308E+01  0.246088E-01

 0.501700E-01  0.294414E+01  0.234495E-01

 0.507790E-01  0.291209E+01  0.254854E-01

 0.513870E-01  0.287529E+01  0.265553E-01

 0.519950E-01  0.281911E+01  0.270644E-01

 0.526030E-01  0.283563E+01  0.250948E-01

 0.532110E-01  0.281021E+01  0.244496E-01

 0.538190E-01  0.282574E+01  0.255835E-01

 0.544270E-01  0.278557E+01  0.237519E-01

 0.550350E-01  0.276402E+01  0.232644E-01

 0.556440E-01  0.271482E+01  0.236812E-01

 0.562520E-01  0.268501E+01  0.244482E-01

 0.568600E-01  0.268072E+01  0.249156E-01

 0.574680E-01  0.262419E+01  0.233252E-01

 0.580760E-01  0.264437E+01  0.236358E-01

 0.586840E-01  0.257809E+01  0.240480E-01

 0.592920E-01  0.252802E+01  0.226958E-01

 0.599000E-01  0.249849E+01  0.246221E-01

 0.605080E-01  0.248483E+01  0.233123E-01

 0.611170E-01  0.247963E+01  0.242399E-01

 0.617250E-01  0.247084E+01  0.228980E-01

 0.623330E-01  0.244043E+01  0.224403E-01

 0.629410E-01  0.241160E+01  0.233028E-01

 0.635490E-01  0.246049E+01  0.225589E-01

 0.641570E-01  0.239723E+01  0.231535E-01

 0.647650E-01  0.235142E+01  0.236988E-01

 0.653730E-01  0.235380E+01  0.230223E-01

 0.659820E-01  0.232379E+01  0.233902E-01

 0.665900E-01  0.228776E+01  0.286771E-01

 0.671980E-01  0.226485E+01  0.443690E-01

 0.678060E-01  0.222800E+01  0.291408E-01

 0.684140E-01  0.220370E+01  0.304505E-01

 0.690220E-01  0.217847E+01  0.234979E-01

 0.696300E-01  0.213783E+01  0.207389E-01

 0.702380E-01  0.213859E+01  0.206206E-01

 0.708470E-01  0.213613E+01  0.228685E-01

 0.714550E-01  0.210668E+01  0.221899E-01

 0.720630E-01  0.208022E+01  0.217223E-01

 0.726710E-01  0.208547E+01  0.205964E-01

 0.732790E-01  0.204353E+01  0.204382E-01

 0.738870E-01  0.198434E+01  0.202733E-01

 0.744950E-01  0.196430E+01  0.203000E-01

 0.751030E-01  0.192149E+01  0.191877E-01

 0.757110E-01  0.189109E+01  0.197468E-01

 0.763200E-01  0.188510E+01  0.204259E-01

 0.769280E-01  0.184515E+01  0.194033E-01

 0.775360E-01  0.186021E+01  0.195887E-01

 0.781440E-01  0.183315E+01  0.205920E-01

 0.787520E-01  0.183421E+01  0.188779E-01

 0.793600E-01  0.177192E+01  0.192524E-01

 0.799680E-01  0.173202E+01  0.195388E-01

 0.805760E-01  0.171258E+01  0.183949E-01

 0.811840E-01  0.169141E+01  0.194102E-01

