# SAXS profile: number of points = 367, q_min = 0.0212385, q_max = 0.386938, delta_q = 0.000999178961748634
# offset = 0.00000000000000, scaling c = 1.66895332167735e-06, Chi = 3.01952571608730
#  q       exp_intensity   model_intensity
0.02124    8.28229000      7.70597536     
0.02224    8.13763000      7.67958943     
0.02324    8.22462000      7.65208689     
0.02424    8.18160000      7.62348011     
0.02524    8.14563000      7.59378535     
0.02623    7.90754000      7.56301345     
0.02723    7.75304000      7.53118244     
0.02823    7.86093000      7.49829773     
0.02923    8.05464000      7.46438343     
0.03023    7.89728000      7.42945100     
0.03123    7.72807000      7.39351966     
0.03223    7.72294000      7.35659910     
0.03323    7.76626000      7.31871399     
0.03423    7.68390000      7.27987281     
0.03523    7.59253000      7.24009891     
0.03623    7.48085000      7.19941183     
0.03723    7.47385000      7.15782403     
0.03822    7.38096000      7.11535614     
0.03922    7.30487000      7.07202848     
0.04022    7.29576000      7.02785433     
0.04122    7.38362000      6.98286648     
0.04222    7.28432000      6.93707030     
0.04322    7.17559000      6.89048938     
0.04422    7.00356000      6.84314848     
0.04522    6.94889000      6.79506618     
0.04622    6.86059000      6.74626352     
0.04722    6.77202000      6.69675694     
0.04822    6.81657000      6.64657036     
0.04922    6.79863000      6.59572837     
0.05021    6.66043000      6.54424755     
0.05121    6.56247000      6.49215731     
0.05221    6.53700000      6.43946490     
0.05321    6.51060000      6.38620364     
0.05421    6.41088000      6.33239224     
0.05521    6.31478000      6.27805313     
0.05621    6.26126000      6.22321236     
0.05721    6.23805000      6.16788785     
0.05821    6.14946000      6.11209758     
0.05921    6.09682000      6.05586761     
0.06021    6.09328000      5.99922373     
0.06121    6.08548000      5.94219291     
0.06220    5.85457000      5.88478543     
0.06320    5.74055000      5.82702946     
0.06420    5.73660000      5.76893937     
0.06520    5.67632000      5.71055134     
0.06620    5.56730000      5.65188426     
0.06720    5.50636000      5.59295018     
0.06820    5.41458000      5.53378022     
0.06920    5.35588000      5.47439530     
0.07020    5.28358000      5.41481238     
0.07120    5.17629000      5.35506297     
0.07220    5.16520000      5.29515690     
0.07320    5.17852000      5.23512482     
0.07419    5.10043000      5.17498392     
0.07519    4.97844000      5.11475484     
0.07619    4.92208000      5.05446293     
0.07719    4.91116000      4.99412494     
0.07819    4.80937000      4.93375731     
0.07919    4.75684000      4.87338574     
0.08019    4.68535000      4.81303345     
0.08119    4.63506000      4.75272342     
0.08219    4.55917000      4.69245767     
0.08319    4.49893000      4.63226879     
0.08419    4.45149000      4.57217376     
0.08519    4.43560000      4.51219147     
0.08619    4.33979000      4.45234730     
0.08718    4.28259000      4.39264655     
0.08818    4.23842000      4.33310894     
0.08918    4.17975000      4.27376037     
0.09018    4.12009000      4.21462036     
0.09118    4.01909000      4.15569101     
0.09218    3.90766000      4.09699802     
0.09318    3.91950000      4.03856107     
0.09418    3.86796000      3.98038325     
0.09518    3.80357000      3.92249762     
0.09618    3.72182000      3.86490612     
0.09718    3.65488000      3.80763298     
0.09818    3.62255000      3.75068766     
0.09917    3.54787000      3.69408630     
0.10017    3.48608000      3.63781841     
0.10117    3.48749000      3.58195020     
0.10217    3.42833000      3.52646683     
0.10317    3.35726000      3.47137558     
0.10417    3.28575000      3.41669490     
0.10517    3.23832000      3.36238362     
0.10617    3.18807000      3.30854703     
0.10717    3.16620000      3.25516002     
0.10817    3.09396000      3.20222208     
0.10917    2.99743000      3.14974772     
0.11016    2.97783000      3.09774624     
0.11116    2.94202000      3.04617526     
0.11216    2.88575000      2.99514583     
0.11316    2.89478000      2.94461563     
0.11416    2.83930000      2.89459537     
0.11516    2.79327000      2.84509152     
0.11616    2.75235000      2.79606156     
0.11716    2.71202000      2.74761238     
0.11816    2.70127000      2.69969282     
0.11916    2.62776000      2.65231749     
0.12016    2.58511000      2.60549055     
0.12116    2.47895000      2.55922361     
0.12216    2.46427000      2.51346597     
0.12316    2.44203000      2.46831878     
0.12415    2.37327000      2.42373741     
0.12515    2.32706000      2.37972651     
0.12615    2.23214000      2.33629784     
0.12715    2.24705000      2.29340049     
0.12815    2.20961000      2.25112705     
0.12915    2.22938000      2.20943871     
0.13015    2.15386000      2.16833516     
0.13115    2.16257000      2.12781493     
0.13215    2.10274000      2.08788578     
0.13315    2.07730000      2.04850957     
0.13415    1.98184000      2.00976020     
0.13514    1.98626000      1.97160194     
0.13614    1.97216000      1.93403264     
0.13714    1.92852000      1.89705374     
0.13814    1.91423000      1.86066271     
0.13914    1.90298000      1.82482639     
0.14014    1.82685000      1.78961334     
0.14114    1.78663000      1.75498561     
0.14214    1.75933000      1.72093979     
0.14314    1.72194000      1.68747612     
0.14414    1.71426000      1.65455388     
0.14514    1.63857000      1.62224819     
0.14614    1.60919000      1.59051388     
0.14713    1.62284000      1.55935143     
0.14813    1.56111000      1.52875006     
0.14913    1.50434000      1.49871289     
0.15013    1.49646000      1.46920591     
0.15113    1.46345000      1.44028274     
0.15213    1.44948000      1.41191412     
0.15313    1.40720000      1.38408947     
0.15413    1.39753000      1.35680105     
0.15513    1.40424000      1.33002609     
0.15613    1.41348000      1.30380490     
0.15713    1.39961000      1.27811510     
0.15813    1.34353000      1.25293722     
0.15912    1.29797000      1.22827905     
0.16012    1.24590000      1.20412458     
0.16112    1.22250000      1.18045641     
0.16212    1.19909000      1.15730328     
0.16312    1.19298000      1.13464171     
0.16412    1.16429000      1.11246381     
0.16512    1.16186000      1.09076215     
0.16612    1.14208000      1.06951183     
0.16712    1.09324000      1.04874261     
0.16812    1.05859000      1.02843017     
0.16912    1.04989000      1.00857388     
0.17012    1.06939000      0.98915640     
0.17111    1.02102000      0.97017530     
0.17211    0.98091600      0.95160549     
0.17311    0.98678000      0.93347712     
0.17411    0.97830600      0.91576466     
0.17511    0.96555300      0.89845808     
0.17611    0.95274300      0.88154766     
0.17711    0.92536300      0.86503566     
0.17811    0.90013600      0.84889056     
0.17911    0.89246500      0.83314115     
0.18011    0.88697300      0.81776373     
0.18111    0.88826200      0.80275322     
0.18211    0.87960900      0.78809085     
0.18311    0.82062300      0.77376701     
0.18410    0.79891500      0.75979870     
0.18510    0.78992100      0.74616727     
0.18610    0.78938800      0.73285991     
0.18710    0.78228600      0.71987181     
0.18810    0.76574200      0.70719609     
0.18910    0.74492600      0.69481788     
0.19010    0.72654500      0.68274112     
0.19110    0.71269800      0.67096661     
0.19210    0.70887200      0.65946726     
0.19310    0.69114300      0.64825147     
0.19410    0.67573900      0.63729089     
0.19510    0.66194100      0.62660695     
0.19609    0.67456100      0.61617783     
0.19709    0.65243700      0.60599930     
0.19809    0.61629300      0.59606361     
0.19909    0.59818600      0.58636708     
0.20009    0.61298600      0.57688703     
0.20109    0.61326900      0.56764371     
0.20209    0.62630800      0.55861569     
0.20309    0.59292200      0.54980206     
0.20409    0.56471700      0.54119251     
0.20509    0.54651200      0.53277371     
0.20609    0.53022900      0.52455487     
0.20709    0.52941900      0.51652649     
0.20808    0.50551600      0.50867740     
0.20908    0.51100900      0.50101243     
0.21008    0.50641600      0.49351032     
0.21108    0.49244800      0.48617008     
0.21208    0.49043900      0.47899650     
0.21308    0.49161700      0.47197760     
0.21408    0.47828100      0.46511056     
0.21508    0.49619600      0.45839156     
0.21608    0.46795800      0.45180867     
0.21708    0.46010300      0.44535826     
0.21808    0.45406500      0.43904436     
0.21908    0.44714900      0.43285527     
0.22007    0.45407200      0.42678961     
0.22107    0.43001100      0.42084694     
0.22207    0.38499300      0.41501057     
0.22307    0.37826800      0.40928933     
0.22407    0.36796700      0.40367283     
0.22507    0.37922600      0.39816554     
0.22607    0.39755500      0.39275165     
0.22707    0.38498100      0.38743785     
0.22807    0.38962800      0.38220953     
0.22907    0.39513200      0.37707375     
0.23007    0.36610700      0.37202660     
0.23107    0.35040800      0.36706337     
0.23206    0.35347000      0.36217616     
0.23306    0.34746300      0.35736388     
0.23406    0.35913600      0.35263159     
0.23506    0.33585900      0.34796678     
0.23606    0.31801700      0.34337534     
0.23706    0.32602400      0.33884955     
0.23806    0.31532600      0.33438896     
0.23906    0.30317400      0.32998480     
0.24006    0.27440200      0.32564521     
0.24106    0.31181100      0.32136781     
0.24206    0.30923700      0.31714522     
0.24306    0.29378700      0.31297619     
0.24406    0.28197300      0.30885632     
0.24505    0.27701500      0.30479109     
0.24605    0.28402000      0.30077649     
0.24705    0.28246500      0.29681027     
0.24805    0.27427100      0.29289062     
0.24905    0.25812600      0.28901483     
0.25005    0.27508500      0.28518101     
0.25105    0.26541300      0.28139179     
0.25205    0.26174500      0.27764971     
0.25305    0.26700700      0.27394611     
0.25405    0.25076400      0.27028340     
0.25505    0.23595400      0.26665751     
0.25605    0.25028500      0.26306953     
0.25705    0.24534100      0.25952021     
0.25804    0.24871500      0.25600977     
0.25904    0.26425800      0.25253528     
0.26004    0.23792300      0.24909753     
0.26104    0.21039700      0.24568916     
0.26204    0.22440800      0.24232231     
0.26304    0.23210300      0.23898609     
0.26404    0.22922800      0.23568610     
0.26504    0.22903900      0.23242085     
0.26604    0.22710500      0.22918706     
0.26704    0.20556000      0.22598541     
