>> SF psi1 phi2 dih ljr charmm 
>> 1386.688125416723 3.14159256 3.14159256 23.997127942312417 -1.3296286068059509 1388.0177540235302
>> 90670.8732740812 3.14159256 2.9321530559999998 17.790642571705042 -0.06376607311952259 90670.93704015428
>> 2029.4908600695342 3.14159256 2.722713552 9.467230244523021 179.07095662399402 1850.4199034455403
>> 41989.20536371299 3.14159256 2.513274048 24.925977632374128 -0.06733177363798955 41989.2726954866
>> 45524.43605553955 3.14159256 2.303834544 25.56902223697747 -0.06380289106895645 45524.49985843061
>> 3881.481479284317 3.14159256 2.09439504 18.536574216393245 28.904547445889794 3852.5769318384287
>> 904.998000716877 3.14159256 1.8849555359999999 20.882732625760863 6.831986830278277 898.1660138865985
>> 446.57678108557025 3.14159256 1.675516032 22.693452701843974 90.46763976446309 356.10914132110736
>> 453.1604202687338 3.14159256 1.4660765279999999 22.583923913379486 96.23809144298176 356.9223288257521
>> 434.08422727777497 3.14159256 1.256637024 21.903232680669834 69.31588710799245 364.7683401697825
>> 411.6874689697358 3.14159256 1.04719752 20.788861697583513 45.64656535237456 366.04090361736127
>> 413.79029121985235 3.14159256 0.837758016 19.304334899008552 47.60012737579439 366.19016384405796
>> 1113.305992679667 3.14159256 0.6283185119999999 17.501887305908415 97.71649793438093 1015.5894947452863
>> 9563.815655564882 3.14159256 0.4188790079999998 13.87246115955229 718.0247168328054 8845.790938732089
>> 9112.688181549947 3.14159256 0.2094395040000001 23.01581280446236 -0.531662126192008 9113.219843676145
>> 11074.076458004763 3.14159256 0.0 15.742203091209191 -0.3961418089757551 11074.472599813746
>> 22726.092204620887 3.14159256 -0.2094395040000001 13.984309013055704 -0.7261893144613248 22726.81839393535
>> 29080.604590780902 3.14159256 -0.4188790079999998 24.895303935336923 -0.154654849506027 29080.75924563041
>> 12391.04186764628 3.14159256 -0.6283185119999999 15.353449404449238 -0.12610388169644016 12391.167971527979
>> 13589.563928720023 3.14159256 -0.837758016 11.947139078215598 5.321428417163193 13584.242500302862
>> 1993.6257927889528 3.14159256 -1.0471975199999997 16.83143449635905 0.5056751937337275 1993.12011759522
>> 9131.813575252872 3.14159256 -1.2566370240000002 24.720943763288847 381.93634568871386 8749.877229564167
>> 29191.69954885072 3.14159256 -1.4660765279999999 25.08707955146852 -0.3870424860314117 29192.086591336752
>> 9248.705394505861 3.14159256 -1.6755160319999995 22.583133287998727 684.844856528922 8563.860537976945
>> 73794.12463267788 3.14159256 -1.884955536 21.864344322725607 -0.06376607311952258 73794.18839875101
>> 15002.137812630863 3.14159256 -2.0943950399999998 19.79829348886908 -0.06379613788208251 15002.201608768748
>> 3416.8933988711365 3.14159256 -2.3038345440000003 18.321287872259212 -0.36115240251754915 3417.2545512736538
>> 2877.3210202253836 3.14159256 -2.513274048 15.84009047658668 -0.3920875243538911 2877.713107749738
>> 2316.3922902913637 3.14159256 -2.7227135519999996 14.483496638336963 -0.45143737194064326 2316.843727663305
>> 2297.0200151159834 3.14159256 -2.9321530559999993 13.402761323497689 -0.46176551458008236 2297.481780630564
>> 434416.5664188983 2.9321530559999998 3.14159256 23.342418442912876 -0.06121714631398129 434416.62763604475
>> 859781.4880376585 2.9321530559999998 2.9321530559999998 14.821105049439193 -0.061938763224163945 859781.5499764213
>> 500257.6482803171 2.9321530559999998 2.722713552 17.83652545178711 -0.06376607311952263 500257.7120463903
>> 20513.696396762072 2.9321530559999998 2.513274048 21.774669170822346 -0.06390511622071021 20513.760301878283
>> 79.60826542874358 2.9321530559999998 2.303834544 10.227742259846467 -0.523592256593919 80.13185768533748
>> 63.96006106143454 2.9321530559999998 2.09439504 6.857142377092927 2.5412848309724216 61.41877623046213
>> 62.60510434080968 2.9321530559999998 1.8849555359999999 7.129026854797111 2.130389526918381 60.47471481389129
>> 60.810768399438906 2.9321530559999998 1.675516032 7.375658011529105 1.5715357530980096 59.23923264634089
>> 58.979802681714 2.9321530559999998 1.4660765279999999 7.614452178336255 0.9396113115660676 58.040191370147916
>> 57.552380925570525 2.9321530559999998 1.256637024 7.836884069058859 0.5131605321585978 57.0392203934119
>> 57.33890950982281 2.9321530559999998 1.04719752 8.023593649449184 0.5840522642709003 56.754857245551904
>> 58.84650214129401 2.9321530559999998 0.837758016 8.238417227499605 0.9504001114786951 57.89610202981531
>> 61.27930070432203 2.9321530559999998 0.6283185119999999 8.548990909921034 1.3711960356560307 59.90810466866601
>> 63.45918939930023 2.9321530559999998 0.4188790079999998 8.919761778675712 1.8610989330955994 61.5980904662046
>> 64.89058038503786 2.9321530559999998 0.2094395040000001 9.258700022015814 2.4568330747648295 62.433747310273034
>> 65.51640765796766 2.9321530559999998 0.0 9.549078655604838 3.028565158917391 62.48784249905027
>> 65.2010794412418 2.9321530559999998 -0.2094395040000001 9.795343440824597 3.3043385348239878 61.89674090641782
>> 63.85077817423073 2.9321530559999998 -0.4188790079999998 9.96701275165745 3.020496291686102 60.830281882544625
>> 61.65516203108261 2.9321530559999998 -0.6283185119999999 10.028324437873565 2.159563701846672 59.495598329235946
