solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
0||0.183013 0.5 -0.5 0.683013|347.787 306.724 207.948|0|-1|-1|0.1443|1 0 0 0|2.61799 1.5708 1.0472|-1
1||0.183013 0.5 -0.5 0.683013|347.787 311.724 207.948|0|-1|-1|0.143199|1 0 0 0|2.61799 1.5708 1.0472|-1
2||0.183013 0.5 -0.5 0.683013|352.787 311.724 207.948|0|-1|-1|0.13361|1 0 0 0|2.61799 1.5708 1.0472|-1
3||0.0905243 -0.456773 0.203368 -0.861281|256.084 371.931 167.83|0|-1|-1|0.130958|1 0 0 0|1.88496 1.0472 1.0472|-1
4||9.85619e-09 0.612372 -0.353553 -0.707107|321.724 337.787 227.052|0|-1|-1|0.130367|1 0 0 0|5.23599 1.5708 4.18879|-1
5||0.183013 0.5 -0.5 0.683013|352.787 306.724 207.948|0|-1|-1|0.13029|1 0 0 0|2.61799 1.5708 1.0472|-1
6||0.226995 0.771634 -0.393167 0.445503|299.35 326.399 179.976|0|-1|-1|0.125033|1 0 0 0|2.51327 2.0944 1.5708|-1
7||0.183013 0.5 -0.5 0.683013|342.787 311.724 207.948|0|-1|-1|0.124515|1 0 0 0|2.61799 1.5708 1.0472|-1
8||0.183013 0.5 -0.5 0.683013|347.787 311.724 212.948|0|-1|-1|0.123216|1 0 0 0|2.61799 1.5708 1.0472|-1
9||0.445503 -0.393167 0.771634 0.226995|313.19 208.941 289.16|0|-1|-1|0.123142|1 0 0 0|0.628319 2.0944 4.71239|-1
10||0.612372 -0.353553 0.612372 -0.353553|233.364 242.052 356.463|0|-1|-1|0.122818|1 0 0 0|1.5708 1.5708 5.75959|-1
11||0.183013 0.5 -0.5 0.683013|347.787 306.724 212.948|0|-1|-1|0.122596|1 0 0 0|2.61799 1.5708 1.0472|-1
12||0.683013 0.183013 -0.183013 0.683013|322.579 199.976 137.966|0|-1|-1|0.122359|1 0 0 0|3.14159 0.523599 1.5708|-1
13||0.183013 0.5 -0.5 0.683013|342.787 306.724 207.948|0|-1|-1|0.121182|1 0 0 0|2.61799 1.5708 1.0472|-1
14||0.683013 0.25 0.0669873 0.683013|297.075 189.754 123.276|0|-1|-1|0.121042|1 0 0 0|2.0944 0.523599 2.61799|-1
15||0.5 0.683013 -0.183013 0.5|283.196 269.432 117.869|0|-1|-1|0.120807|1 0 0 0|2.61799 1.5708 2.0944|-1
16||0.183013 0.5 -0.5 0.683013|347.787 306.724 202.948|0|-1|-1|0.120794|1 0 0 0|2.61799 1.5708 1.0472|-1
17||0.0905243 -0.456773 0.203368 -0.861281|256.084 371.931 172.83|0|-1|-1|0.120677|1 0 0 0|1.88496 1.0472 1.0472|-1
18||1.02021e-08 0.612372 -0.353553 0.707107|302.239 351.923 197.948|0|-1|-1|0.120461|1 0 0 0|5.23599 1.5708 4.18879|-1
19||0.791154 -0.0522642 0.497261 -0.352244|166.088 207.032 304.706|0|-1|-1|0.120035|1 0 0 0|1.88496 1.0472 5.23599|-1
20||0.183013 0.5 -0.5 0.683013|347.787 311.724 202.948|0|-1|-1|0.119991|1 0 0 0|2.61799 1.5708 1.0472|-1
21||0.183013 0.5 -0.5 0.683013|352.787 311.724 212.948|0|-1|-1|0.119515|1 0 0 0|2.61799 1.5708 1.0472|-1
22||0.836516 -0.482963 -0.12941 -0.224144|147.869 175.568 248.196|0|-1|-1|0.117204|1 0 0 0|0 1.0472 0.523599|-1
23||0.791154 -0.0522642 0.497261 -0.352244|171.088 207.032 304.706|0|-1|-1|0.116945|1 0 0 0|1.88496 1.0472 5.23599|-1
24||0.836516 -1.05367e-08 -0.258819 0.482963|239.689 117.377 232.982|0|-1|-1|0.116801|1 0 0 0|4.18879 0.523599 1.0472|-1
25||0.612372 -0.353553 0.612372 -0.353553|233.364 242.052 351.463|0|-1|-1|0.116791|1 0 0 0|1.5708 1.5708 5.75959|-1
26||5.26836e-09 -1.17804e-08 -0.965926 -0.258819|292.084 158.761 144.703|0|-1|-1|0.116584|1 0 0 0|0 2.61799 3.14159|-1
27||0.933013 0.0669873 0.25 -0.25|130.401 181.659 242.55|0|-1|-1|0.11589|1 0 0 0|2.0944 0.523599 4.71239|-1
28||0.5 0.683013 -0.183013 0.5|288.196 269.432 117.869|0|-1|-1|0.115185|1 0 0 0|2.61799 1.5708 2.0944|-1
29||0.226995 0.771634 -0.393167 0.445503|294.35 326.399 179.976|0|-1|-1|0.114946|1 0 0 0|2.51327 2.0944 1.5708|-1
30||0.0905243 -0.456773 0.203368 -0.861281|251.084 371.931 167.83|0|-1|-1|0.114924|1 0 0 0|1.88496 1.0472 1.0472|-1
31||0.707107 0.707107 6.45239e-09 6.45239e-09|202.916 211.636 117.421|0|-1|-1|0.114916|1 0 0 0|3.14159 1.5708 3.14159|-1
