solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
0||0.683013 0.5 -0.5 -0.183013|121.666 304.332 180.972|0|-1|-1|0.137439|1 0 0 0|4.18879 1.5708 2.61799|-1
1||0.683013 0.683013 -0.183013 -0.183013|54.6468 279.841 244.302|0|-1|-1|0.135381|1 0 0 0|3.66519 1.5708 3.14159|-1
2||0.707107 -1.29048e-08 1.29048e-08 0.707107|265.698 115.605 221.098|0|-1|-1|0.129136|1 0 0 0|0 0 4.71239|-1
3||7.45058e-09 0 0.5 -0.866025|324.395 230.493 319.88|0|-1|-1|0.12781|1 0 0 0|3.14159 1.0472 0|-1
4||0.25 -0.183013 -0.183013 0.933013|305.321 180.683 354.37|0|-1|-1|0.126911|1 0 0 0|4.18879 0.523599 5.75959|-1
5||0.475528 -0.823639 0.267617 -0.154508|177.443 331.446 256.282|0|-1|-1|0.126272|1 0 0 0|0.628319 2.0944 0|-1
6||0.612372 -0.612372 -0.353553 0.353553|172.946 113.245 275.698|0|-1|-1|0.125668|1 0 0 0|5.23599 1.5708 0|-1
7||0.25 0.0669873 -0.25 0.933013|320.154 187.573 285.923|0|-1|-1|0.125317|1 0 0 0|3.14159 0.523599 0.523599|-1
8||0.5 0.183013 -0.683013 0.5|311.127 190.63 103.045|0|-1|-1|0.124722|1 0 0 0|3.66519 1.5708 1.0472|-1
9||0.183013 0.683013 0.683013 -0.183013|224.302 94.6468 284.841|0|-1|-1|0.124111|1 0 0 0|3.14159 2.61799 4.71239|-1
10||0.612372 -0.612372 -0.353553 0.353553|172.946 108.245 275.698|0|-1|-1|0.123482|1 0 0 0|5.23599 1.5708 0|-1
11||0.258819 0 0 0.965926|325.154 197.133 306.098|0|-1|-1|0.12327|1 0 0 0|0 0 3.66519|-1
12||0.353553 0.353553 0.612372 0.612372|347.054 113.245 199.302|0|-1|-1|0.123167|1 0 0 0|1.0472 1.5708 3.14159|-1
13||0.683013 0.5 -0.5 -0.183013|121.666 309.332 180.972|0|-1|-1|0.122771|1 0 0 0|4.18879 1.5708 2.61799|-1
14||0.353553 -1.29048e-08 -0.707107 0.612372|337.413 172.567 167.133|0|-1|-1|0.122598|1 0 0 0|3.66519 1.5708 0.523599|-1
15||1.39388e-08 5.26836e-09 0.5 -0.866025|319.395 230.493 319.88|0|-1|-1|0.12221|1 0 0 0|3.14159 1.0472 0|-1
16||0.475528 -0.823639 0.267617 -0.154508|177.443 336.446 256.282|0|-1|-1|0.120754|1 0 0 0|0.628319 2.0944 0|-1
17||0.183013 0.25 -0.933013 -0.183013|305.321 269.317 210.63|0|-1|-1|0.120276|1 0 0 0|5.23599 2.61799 2.61799|-1
18||0.25 0.683013 -0.683013 -0.0669873|275.865 342.944 165.63|0|-1|-1|0.119285|1 0 0 0|4.18879 2.61799 2.61799|-1
19||0.612372 -0.353553 -0.353553 -0.612372|194.302 337.054 93.2445|0|-1|-1|0.1188|1 0 0 0|0 1.0472 1.5708|-1
20||0.258819 0.482963 -0.836516 -7.45058e-09|250.004 278.085 87.5671|0|-1|-1|0.118504|1 0 0 0|4.18879 2.61799 2.0944|-1
21||0.183013 0.25 -0.933013 -0.183013|300.321 269.317 210.63|0|-1|-1|0.118227|1 0 0 0|5.23599 2.61799 2.61799|-1
22||0.836516 0.224144 -0.12941 0.482963|137.133 68.9897 114.779|0|-1|-1|0.117173|1 0 0 0|3.14159 0.523599 2.0944|-1
23||7.45058e-09 -0.258819 0.965926 9.12506e-09|405.154 257.867 208.902|0|-1|-1|0.116953|1 0 0 0|0 3.14159 2.61799|-1
24||0 -0.965926 -0.258819 1.05367e-08|114.846 127.133 193.902|0|-1|-1|0.116853|1 0 0 0|0 3.14159 0.523599|-1
25||0.965926 -0.12941 0.224144 -9.12506e-09|119.63 238.172 287.433|0|-1|-1|0.116643|1 0 0 0|1.0472 0.523599 5.23599|-1
26||0.353553 -0.353553 -0.612372 0.612372|279.841 119.647 255.698|0|-1|-1|0.116609|1 0 0 0|4.18879 1.5708 0|-1
27||0.5 -0.683013 -0.183013 0.5|126.666 150.668 384.028|0|-1|-1|0.116588|1 0 0 0|5.23599 1.5708 5.75959|-1
28||1.4428e-08 0.353553 0.612372 -0.707107|259.332 166.666 384.028|0|-1|-1|0.116288|1 0 0 0|2.61799 1.5708 0.523599|-1
29||0.353553 -0.612372 0.612372 0.353553|265.698 332.054 316.755|0|-1|-1|0.115999|1 0 0 0|0 2.0944 4.71239|-1
30||0.612372 0.353553 0.612372 0.353553|281.098 89.8465 272.867|0|-1|-1|0.115583|1 0 0 0|1.5708 1.5708 3.66519|-1
31||7.45058e-09 0 0.5 -0.866025|324.395 235.493 319.88|0|-1|-1|0.115261|1 0 0 0|3.14159 1.0472 0|-1
32||0.612372 -0.353553 -0.353553 -0.612372|194.302 332.054 93.2445|0|-1|-1|0.114535|1 0 0 0|0 1.0472 1.5708|-1
33||0.612372 -0.612372 -0.353553 0.353553|177.946 108.245 275.698|0|-1|-1|0.114365|1 0 0 0|5.23599 1.5708 0|-1
34||0.683013 -0.25 0.0669873 -0.683013|228.251 361.675 240.923|0|-1|-1|0.114182|1 0 0 0|1.0472 0.523599 0.523599|-1
35||0 -0.965926 -0.258819 0|109.846 127.133 193.902|0|-1|-1|0.114181|1 0 0 0|0 3.14159 0.523599|-1
36||0.5 0.5 0.5 0.5|286.098 85.6052 199.302|0|-1|-1|0.114057|1 0 0 0|1.5708 1.5708 3.14159|-1
37||0.183013 0.683013 0.683013 -0.183013|219.302 94.6468 284.841|0|-1|-1|0.113774|1 0 0 0|3.14159 2.61799 4.71239|-1
38||5.26836e-09 0.836516 -0.482963 0.258819|246.726 293.842 141.666|0|-1|-1|0.113673|1 0 0 0|2.0944 2.61799 1.0472|-1
39||0.683013 0.683013 -0.183013 -0.183013|54.6468 274.841 244.302|0|-1|-1|0.113438|1 0 0 0|3.66519 1.5708 3.14159|-1
40||0.12941 -0.482963 -0.836516 0.224144|299.246 27.7558 210.493|0|-1|-1|0.113332|1 0 0 0|4.18879 2.61799 0|-1
41||0.612372 0.353553 0.612372 0.353553|281.098 89.8465 267.867|0|-1|-1|0.113245|1 0 0 0|1.5708 1.5708 3.66519|-1
42||0.5 -0.683013 -0.183013 0.5|121.666 145.668 384.028|0|-1|-1|0.113183|1 0 0 0|5.23599 1.5708 5.75959|-1
43||0.0669873 0.683013 -0.683013 -0.25|266.749 386.675 214.077|0|-1|-1|0.112864|1 0 0 0|5.23599 2.61799 3.66519|-1
44||0.258819 5.26836e-09 0 0.965926|330.154 197.133 306.098|0|-1|-1|0.112654|1 0 0 0|0 0 3.66519|-1
45||0.25 0.0669873 -0.25 0.933013|320.154 192.573 285.923|0|-1|-1|0.112257|1 0 0 0|3.14159 0.523599 0.523599|-1
46||0.224144 -0.836516 0.482963 -0.12941|240.754 312.244 210.493|0|-1|-1|0.112127|1 0 0 0|1.0472 2.61799 0|-1
47||0.612372 -0.353553 -0.353553 -0.612372|194.302 337.054 98.2445|0|-1|-1|0.111788|1 0 0 0|0 1.0472 1.5708|-1
48||0.433013 0.75 0.433013 -0.25|160.972 156.666 304.332|0|-1|-1|0.111736|1 0 0 0|3.14159 2.0944 4.18879|-1
49||1 7.45058e-09 -5.26836e-09 9.12506e-09|90.6052 224.302 221.098|0|-1|-1|0.111435|1 0 0 0|0 0 0|-1
50||0.353553 -0.353553 -0.612372 0.612372|284.841 119.647 255.698|0|-1|-1|0.111401|1 0 0 0|4.18879 1.5708 0|-1
51||0.0669873 0.933013 0.25 -0.25|122.677 131.654 269.841|0|-1|-1|0.111137|1 0 0 0|4.18879 2.61799 4.71239|-1
52||0.855363 -0.0782172 -0.493844 -0.135476|80.2809 212.3 113.245|0|-1|-1|0.11108|1 0 0 0|5.02655 1.0472 1.5708|-1
53||0.0522642 0.791154 0.352244 0.497261|188.289 202.573 78.9897|0|-1|-1|0.110883|1 0 0 0|1.25664 2.0944 2.0944|-1
54||0.707107 -1.49012e-08 -0 0.707107|265.698 110.605 221.098|0|-1|-1|0.110625|1 0 0 0|0 0 4.71239|-1
55||0.683013 -0.183013 0.683013 0.183013|282.705 143.718 349.395|0|-1|-1|0.110493|1 0 0 0|1.0472 1.5708 4.71239|-1
56||0.5 0.183013 -0.683013 -0.5|256.121 347.93 95.9719|0|-1|-1|0.110385|1 0 0 0|5.23599 1.5708 2.61799|-1
57||0.12941 0.482963 -0.836516 0.224144|329.028 334.332 141.666|0|-1|-1|0.110377|1 0 0 0|3.14159 2.61799 1.0472|-1
58||0.393167 0.445503 -0.226995 0.771634|338.102 176.547 118.245|0|-1|-1|0.11018|1 0 0 0|2.51327 1.0472 1.5708|-1
59||0.683013 -0.25 0.0669873 -0.683013|228.251 366.675 240.923|0|-1|-1|0.109958|1 0 0 0|1.0472 0.523599 0.523599|-1
60||0.683013 0.5 0.5 0.183013|214.779 98.9897 272.867|0|-1|-1|0.109946|1 0 0 0|2.0944 1.5708 3.66519|-1
61||1.05367e-08 5.26836e-09 1 -1.29048e-08|404.395 179.302 208.902|0|-1|-1|0.109887|1 0 0 0|0 3.14159 3.14159|-1
62||0.808504 0.31466 -0.388573 -0.310356|188.169 251.424 128.873|0|-1|-1|0.10987|1 0 0 0|4.39823 1.0472 2.61799|-1
63||0.965926 -0.12941 0.224144 -9.12506e-09|119.63 238.172 282.433|0|-1|-1|0.109784|1 0 0 0|1.0472 0.523599 5.23599|-1
64||0.353553 0.612372 -0.353553 0.612372|299.88 170.493 70.6052|0|-1|-1|0.109746|1 0 0 0|2.61799 1.5708 1.5708|-1
65||0.5 0.866025 6.45239e-09 6.45239e-09|50.6052 230.493 230.12|0|-1|-1|0.109653|1 0 0 0|3.14159 2.0944 3.14159|-1
66||0.224144 -0.836516 0.482963 -0.12941|235.754 312.244 210.493|0|-1|-1|0.10965|1 0 0 0|1.0472 2.61799 0|-1
67||0.5 0.183013 -0.683013 0.5|311.127 190.63 108.045|0|-1|-1|0.109487|1 0 0 0|3.66519 1.5708 1.0472|-1
68||0.258819 0.482963 -0.836516 -5.26836e-09|270.004 308.085 192.567|0|-1|-1|0.109456|1 0 0 0|4.18879 2.61799 2.0944|-1
69||0.836516 0.224144 -0.12941 0.482963|137.133 63.9897 114.779|0|-1|-1|0.109314|1 0 0 0|3.14159 0.523599 2.0944|-1
70||0.183013 -0.5 0.5 0.683013|306.127 329.37 296.955|0|-1|-1|0.109112|1 0 0 0|5.75959 1.5708 4.18879|-1
71||0.612372 -0.707107 1.22142e-08 0.353553|172.07 183.879 334.028|0|-1|-1|0.109034|1 0 0 0|5.75959 1.5708 5.75959|-1
72||0.353553 -0.612372 -0.353553 0.612372|233.902 123.045 339.028|0|-1|-1|0.108864|1 0 0 0|4.71239 1.5708 5.75959|-1
73||0.75 -0.433013 -0.25 -0.433013|130.972 313.334 130.668|0|-1|-1|0.10885|1 0 0 0|0 1.0472 1.0472|-1
74||0.612372 0.707107 -1.4428e-08 0.353553|180.668 156.666 140.972|0|-1|-1|0.108744|1 0 0 0|2.61799 1.5708 2.61799|-1
75||1.05367e-08 -1.82501e-08 -0.5 0.866025|404.395 230.493 269.88|0|-1|-1|0.108691|1 0 0 0|3.14159 1.0472 0|-1
76||0.0669873 -0.683013 0.683013 -0.25|307.855 347.376 193.711|0|-1|-1|0.108403|1 0 0 0|2.0944 2.61799 0.523599|-1
77||0.471671 0.026168 0.499315 0.72631|362.937 135.313 272.427|0|-1|-1|0.108368|1 0 0 0|0.628319 1.0472 3.66519|-1
78||0.499315 -0.72631 0.471671 -0.026168|236.344 290.057 286.127|0|-1|-1|0.108033|1 0 0 0|0.628319 2.0944 5.75959|-1
79||0.135476 0.493844 -0.0782172 0.855363|264.719 227.7 113.245|0|-1|-1|0.107965|1 0 0 0|1.88496 1.0472 1.5708|-1
80||0.103956 0.643582 -0.579484 0.489074|274.876 264.377 147.07|0|-1|-1|0.107633|1 0 0 0|2.51327 2.0944 1.0472|-1
