solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
9654||0.683013 -0.5 -0.5 -0.183013|71.0861 185.14 125.529|0|-1|-1|0.0466328|1 0 0 0|5.75959 1.5708 1.0472|-1
9655||0.183013 0.683013 0.183013 -0.683013|98.0346 323.433 347.077|0|-1|-1|0.0466304|1 0 0 0|4.18879 1.5708 4.71239|-1
9656||0.482963 0.12941 0.224144 0.836516|340.437 96.1757 160.133|0|-1|-1|0.046626|1 0 0 0|1.0472 0.523599 3.14159|-1
9657||0.836516 0.224144 -0.12941 0.482963|159.741 75.7065 174.148|0|-1|-1|0.0466238|1 0 0 0|3.14159 0.523599 2.0944|-1
9658||0.489074 -0.579484 0.643582 0.103956|225.491 318.633 297.101|0|-1|-1|0.0466154|1 0 0 0|0.628319 2.0944 5.23599|-1
9659||0.352244 -0.497261 0.0522642 -0.791154|245.541 359.229 157.428|0|-1|-1|0.0466152|1 0 0 0|1.25664 1.0472 1.0472|-1
9660||0.0782172 -0.855363 0.135476 0.493844|144.241 361.363 366.791|0|-1|-1|0.0466145|1 0 0 0|5.02655 2.0944 4.71239|-1
9661||0.433013 0.75 -0.433013 0.25|164.741 230.852 75.7065|0|-1|-1|0.0466132|1 0 0 0|3.14159 2.0944 2.0944|-1
9662||0.791154 -0.0522642 -0.497261 0.352244|154.459 90.7712 167.428|0|-1|-1|0.0466125|1 0 0 0|4.39823 1.0472 1.0472|-1
9663||1.05367e-08 0.258819 0.965926 1.05367e-08|299.471 65.6823 235.308|0|-1|-1|0.0466086|1 0 0 0|0 3.14159 2.61799|-1
9664||0.25 0.25 0.0669873 -0.933013|273.242 284.175 263.338|0|-1|-1|0.0466082|1 0 0 0|4.18879 0.523599 4.71239|-1
9665||7.45058e-09 -0.965926 -0.258819 1.58051e-08|33.6969 189.741 135.308|0|-1|-1|0.0466043|1 0 0 0|0 3.14159 0.523599|-1
9666||0.310356 0.388573 0.31466 0.808504|356.485 187.751 68.2784|0|-1|-1|0.0466042|1 0 0 0|1.25664 1.0472 2.61799|-1
9667||0.5 0.866025 -9.85619e-09 1.4428e-08|127.923 159.867 149.375|0|-1|-1|0.0466015|1 0 0 0|3.14159 2.0944 3.14159|-1
9668||0.5 0.5 -0.5 0.5|249.332 225.308 97.9229|0|-1|-1|0.0465969|1 0 0 0|3.14159 1.5708 1.5708|-1
9669||0.933013 -0.183013 -0.183013 0.25|136.754 153.635 219.669|0|-1|-1|0.046594|1 0 0 0|5.23599 0.523599 0.523599|-1
9670||0.183013 -0.5 0.5 0.683013|336.722 376.958 314.471|0|-1|-1|0.0465918|1 0 0 0|5.75959 1.5708 4.18879|-1
9671||0.836516 -1.666e-08 0.258819 -0.482963|100.302 222.37 297.951|0|-1|-1|0.0465916|1 0 0 0|2.0944 0.523599 5.23599|-1
9672||0.371572 -0.180057 0.847101 0.334565|359.288 188.261 187.572|0|-1|-1|0.0465821|1 0 0 0|0.628319 2.0944 4.18879|-1
9673||0.27232 0.0453243 -0.864839 -0.419335|330.473 275.611 81.0861|0|-1|-1|0.046581|1 0 0 0|5.65487 2.0944 2.61799|-1
9674||0.183013 0.5 0.5 -0.683013|183.973 197.571 416.303|0|-1|-1|0.0465796|1 0 0 0|3.66519 1.5708 5.23599|-1
9675||0.353553 -0.353553 -0.612372 -0.612372|240.259 194.692 -1.30312|0|-1|-1|0.0465787|1 0 0 0|0 1.5708 2.0944|-1
9676||0.183013 -0.5 -0.5 0.683013|244.936 130.236 419.318|0|-1|-1|0.0465766|1 0 0 0|4.18879 1.5708 5.75959|-1
9677||0.475528 0.823639 -0.267617 -0.154508|59.862 288.82 149.375|0|-1|-1|0.0465726|1 0 0 0|3.76991 2.0944 3.14159|-1
9678||0.0453243 -0.27232 0.419335 -0.864839|340.704 230.825 251.027|0|-1|-1|0.0465687|1 0 0 0|2.51327 1.0472 0.523599|-1
9679||0.353553 0.353553 0.612372 -0.612372|235.259 220.308 431.303|0|-1|-1|0.0465685|1 0 0 0|3.14159 1.5708 5.23599|-1
9680||0.419335 -0.864839 -0.0453243 0.27232|26.8435 232.493 346.722|0|-1|-1|0.0465642|1 0 0 0|5.65487 2.0944 5.75959|-1
9681||0.700629 -0.404508 0.293893 -0.509037|212.731 304.068 355.625|0|-1|-1|0.046563|1 0 0 0|1.25664 1.0472 0|-1
9682||0.226995 0.771634 0.393167 -0.445503|137.752 252.033 306.791|0|-1|-1|0.0465602|1 0 0 0|3.76991 2.0944 4.71239|-1
9683||0.25 -0.25 0.933013 0.0669873|303.624 243.712 226.239|0|-1|-1|0.0465596|1 0 0 0|1.0472 2.61799 4.71239|-1
9684||9.12506e-09 0.224144 -0.12941 -0.965926|338.112 325.282 262.035|0|-1|-1|0.0465567|1 0 0 0|2.0944 0.523599 1.0472|-1
9685||0.25 0.25 0.0669873 -0.933013|298.242 319.175 278.338|0|-1|-1|0.0465565|1 0 0 0|4.18879 0.523599 4.71239|-1
9686||0.224144 0.836516 0.482963 0.12941|88.1118 147.58 233.035|0|-1|-1|0.0465565|1 0 0 0|2.0944 2.61799 3.14159|-1
9687||0.183013 -0.683013 0.183013 -0.683013|239.692 299.318 90.5292|0|-1|-1|0.0465548|1 0 0 0|1.5708 1.5708 1.0472|-1
9688||0.471671 0.026168 -0.499315 -0.72631|247.114 280.344 138.278|0|-1|-1|0.0465489|1 0 0 0|5.65487 1.0472 2.61799|-1
9689||0.433013 -0.75 0.433013 0.25|264.741 347.951 337.101|0|-1|-1|0.0465473|1 0 0 0|0 2.0944 5.23599|-1
9690||0.836516 0.224144 -0.12941 -0.482963|154.563 253.824 200.133|0|-1|-1|0.0465441|1 0 0 0|4.18879 0.523599 3.14159|-1
9691||0.700629 -0.404508 -0.293893 0.509037|175.276 52.1084 310.625|0|-1|-1|0.0465419|1 0 0 0|5.02655 1.0472 0|-1
9692||0.183013 0.25 0.933013 0.183013|363.246 58.6353 135.331|0|-1|-1|0.0465376|1 0 0 0|1.0472 2.61799 3.66519|-1
9693||0.267617 0.154508 0.475528 0.823639|274.116 215.474 141.567|0|-1|-1|0.0465339|1 0 0 0|0.628319 1.0472 3.14159|-1
9694||0.371572 -0.180057 -0.847101 -0.334565|274.912 219.203 65.7065|0|-1|-1|0.0465319|1 0 0 0|5.65487 2.0944 2.0944|-1
