solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
0||0.847101 -0.334565 -0.371572 -0.180057|140.597 2.67868 152.352|0|-1|-1|0.12773|1 0 0 0|5.65487 1.0472 1.0472|-1
1||0.612372 -0.707107 -5.26836e-09 0.353553|226.512 106.656 454.378|0|-1|-1|0.123883|1 0 0 0|5.75959 1.5708 5.75959|-1
2||0.353553 -0.612372 -0.612372 -0.353553|42.3269 76.1408 159.017|0|-1|-1|0.12267|1 0 0 0|0 2.0944 1.5708|-1
3||0.612372 0.353553 0.612372 -0.353553|25.5458 239.269 356.507|0|-1|-1|0.122083|1 0 0 0|2.61799 1.5708 4.71239|-1
4||0.27232 -0.0453243 -0.864839 0.419335|429.639 196.857 353.178|0|-1|-1|0.121913|1 0 0 0|3.76991 2.0944 0.523599|-1
5||0.026168 -0.471671 -0.72631 0.499315|221.991 238.743 431.241|0|-1|-1|0.121261|1 0 0 0|3.76991 2.0944 5.75959|-1
6||0.847101 -0.334565 -0.371572 -0.180057|140.597 2.67868 157.352|0|-1|-1|0.121198|1 0 0 0|5.65487 1.0472 1.0472|-1
7||0.27232 -0.0453243 -0.864839 0.419335|434.639 196.857 353.178|0|-1|-1|0.120871|1 0 0 0|3.76991 2.0944 0.523599|-1
8||0.847101 -0.334565 -0.371572 -0.180057|145.597 2.67868 152.352|0|-1|-1|0.120831|1 0 0 0|5.65487 1.0472 1.0472|-1
9||0.612372 0.353553 0.612372 -0.353553|0.545758 274.269 331.507|0|-1|-1|0.120828|1 0 0 0|2.61799 1.5708 4.71239|-1
10||0.612372 0.353553 0.612372 -0.353553|30.5458 239.269 356.507|0|-1|-1|0.120602|1 0 0 0|2.61799 1.5708 4.71239|-1
11||0.771634 0.226995 0.445503 -0.393167|-25.8954 281.107 250.983|0|-1|-1|0.120152|1 0 0 0|2.51327 1.0472 4.71239|-1
12||0.026168 -0.471671 -0.72631 0.499315|216.991 238.743 431.241|0|-1|-1|0.11994|1 0 0 0|3.76991 2.0944 5.75959|-1
13||0.545007 0.46679 -0.179184 -0.673028|253.955 372.429 61.8216|0|-1|-1|0.119667|1 0 0 0|4.39823 1.0472 3.66519|-1
14||0.25 -0.683013 0.683013 -0.0669873|282.742 315.359 397.795|0|-1|-1|0.11882|1 0 0 0|1.0472 2.61799 5.75959|-1
15||0.0669873 -0.25 -0.933013 -0.25|285.476 -41.2413 235.917|0|-1|-1|0.118469|1 0 0 0|0 2.61799 2.61799|-1
16||0.026168 -0.471671 -0.72631 0.499315|221.991 243.743 431.241|0|-1|-1|0.118464|1 0 0 0|3.76991 2.0944 5.75959|-1
