solution index | solution filename | fit rotation | fit translation  | match size | match average distance |  envelope penetration score | fitting score|dock rotation | dock translation | RMSD to reference
0||0.836516 -0.224144 0.12941 0.482963|330.951 -77.4967 205.698|0|-1|-1|0.131505|1 0 0 0|0 0.523599 5.23599|-1
1||0.771634 -0.226995 0.445503 0.393167|270.011 -78.8084 301.393|0|-1|-1|0.129527|1 0 0 0|0.628319 1.0472 4.71239|-1
2||0.471671 -0.026168 0.499315 -0.72631|130.072 484.538 367.994|0|-1|-1|0.128491|1 0 0 0|2.51327 1.0472 5.75959|-1
3||0.771634 -0.226995 0.445503 0.393167|270.011 -78.8084 296.393|0|-1|-1|0.127128|1 0 0 0|0.628319 1.0472 4.71239|-1
4||0.683013 0.683013 -0.183013 -0.183013|148.607 490.167 -21.6331|0|-1|-1|0.127055|1 0 0 0|3.66519 1.5708 3.14159|-1
5||0.683013 -0.683013 -0.183013 0.183013|198.607 -20.1672 431.633|0|-1|-1|0.124851|1 0 0 0|5.75959 1.5708 0|-1
6||0.771634 -0.226995 0.445503 0.393167|270.011 -83.8084 296.393|0|-1|-1|0.124817|1 0 0 0|0.628319 1.0472 4.71239|-1
7||0.836516 -0.224144 0.12941 0.482963|335.951 -77.4967 200.698|0|-1|-1|0.124752|1 0 0 0|0 0.523599 5.23599|-1
8||0.771634 -0.226995 0.445503 0.393167|270.011 -83.8084 301.393|0|-1|-1|0.12443|1 0 0 0|0.628319 1.0472 4.71239|-1
9||0.224144 7.45058e-09 0.965926 0.12941|346.09 -24.5973 417.3|0|-1|-1|0.124283|1 0 0 0|1.0472 2.61799 4.18879|-1
10||0.771634 -0.226995 0.445503 0.393167|275.011 -83.8084 301.393|0|-1|-1|0.124042|1 0 0 0|0.628319 1.0472 4.71239|-1
11||6.45239e-09 -0.612372 0.353553 -0.707107|235.725 536.203 186.569|0|-1|-1|0.123938|1 0 0 0|2.0944 1.5708 1.0472|-1
12||0.471671 -0.026168 0.499315 -0.72631|130.072 479.538 367.994|0|-1|-1|0.123893|1 0 0 0|2.51327 1.0472 5.75959|-1
13||0.612372 -0.612372 -0.353553 0.353553|333.501 -14.6022 436.633|0|-1|-1|0.123507|1 0 0 0|5.23599 1.5708 0|-1
14||0.612372 -0.612372 -0.353553 0.353553|333.501 -14.6022 431.633|0|-1|-1|0.12294|1 0 0 0|5.23599 1.5708 0|-1
15||0.836516 -0.224144 0.12941 0.482963|330.951 -72.4967 205.698|0|-1|-1|0.122618|1 0 0 0|0 0.523599 5.23599|-1
